,mobile,url,tm,title,content,source,location,type,tags,emotion,negative_cnt,comment_cnt,fee,speed,signal,5G,other,--,tag_num,one_tag,multi_tag
0,亞太,[https://www.facebook.com/162174107155573/posts/4870983136274623/](https://www.facebook.com/162174107155573/posts/4870983136274623/),2021-11-15T20:00:01+08:00,請問振興券可以繳電話費嗎？,"
亞太帳單，我在門市繳振興?加現金，服務很好！
",fans,,主文,資費,中立,0,0.0,0,0,0,0,1,0,1,其他,其他
1,亞太,[https://www.youtube.com/watch?v=6rW99SzjzgA](https://www.youtube.com/watch?v=6rW99SzjzgA),2021-11-12T20:44:41+08:00,"台星的雙11沒吸引力,白等了.那u15跟60+那個好??","我也是之前等了很久，把小孩用的台灣之星預付移出去準備雙11來個188+94，結果這次188完全沒有吸引力，
手邊有亞太11給小朋友用過，在生活周遭是真的不太好，常常低於1MB (還有流量，不是被限速)，所以亞太111我也不考慮了。至少台星在我家生活周遭的訊號是ok的。打算用長輩的身分去辦o60的給小朋友用，超量限速3MB對小朋友來說應該也是夠用，常用到的spotify 跟 line 、 youtube 還可以看到720p，要下載遊戲或是啥的，家裡有100M的寬頻wifi可用，可能觀望一下有沒有所謂的1212，之後再去申辦o60來用。",youtube_comment,,回文,資費,中立,0,0.0,1,1,0,0,0,0,2,,"資費,網速"
2,亞太,[https://www.ptt.cc/bbs/MobileComm/M.1636468431.A.2A4.html](https://www.ptt.cc/bbs/MobileComm/M.1636468431.A.2A4.html),2021-11-09T22:37:00+08:00,亞太電信88元12MB悄悄的續約18個月方案,"感謝幾位前輩寶貴資訊
亞太除了剛開始使用時,進入山區忘了換一號機導航外
其餘時間訊號都沒問題
88元/10GB/12Mb/30分鐘...真香",ptt_comment,,回文,收訊,中立,0,0.0,1,0,1,0,0,0,1,收訊,收訊
3,亞太,[https://m.ctee.com.tw/dailynews/20210925/a04aa4/1146682](https://m.ctee.com.tw/dailynews/20210925/a04aa4/1146682),2021-09-25T00:00:00+08:00,[方案] 該續約中華還是找其他家更便宜的？,便宜就選亞太啊,ctee,,主文,資費,中立,0,0.0,1,0,0,0,0,0,1,資費,資費
4,亞太,[https://www.chinatimes.com/newspapers/20210921000240-260110](https://www.chinatimes.com/newspapers/20210921000240-260110),2021-09-21T04:10:00+08:00,[方案] 請問有推薦499↓吃到飽嗎？(不限流量),亞太啊199不限速不限流量吃到飽,chinatimes,,主文,資費,中立,0,0.0,1,1,0,0,0,0,2,,"資費,網速"
5,亞太,[https://udn.com/news/story/7240/5734364](https://udn.com/news/story/7240/5734364),2021-09-09T16:44:09+08:00,問題,沒差，我亞太也滿格,udn,,主文,收訊,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
6,亞太,[https://www.mobile01.com/topicdetail.php?f=18&t=6445445](https://www.mobile01.com/topicdetail.php?f=18&t=6445445),2021-09-03T19:29:00+08:00,中華電稱冠全台 5G網速飆471.73Mbps,"連續兩次報告中華目前看來還是第一
遠傳跟亞太這組5G好夥伴緊追在後
通過共頻共網之後也許基地台數量有望往上拉
有超車的可能
台灣大哥大跟台灣之星要加油了",mobile01_comment,,回文,5G,中立,0,0.0,0,1,0,1,0,0,2,,"網速,5G"
7,亞太,[https://www.mobile01.com/topicdetail.php?f=18&t=6439320](https://www.mobile01.com/topicdetail.php?f=18&t=6439320),2021-08-29T18:26:00+08:00,[心得] 台灣之星網路訊號不穩,就叫你用亞太了 也沒有比較貴,mobile01_comment,,回文,資費,中立,0,0.0,0,0,1,0,0,0,1,收訊,收訊
8,遠傳,[https://www.facebook.com/273340155673/posts/10158684104525674/](https://www.facebook.com/273340155673/posts/10158684104525674/),2021-08-14T18:45:28+08:00,5G資費大家會想要選哪一家呢?,家人最近打算升5G因為遠傳的網速最快，所以目前是以亞太和遠傳為優先考慮看了一下亞太的通話分鐘數送的好像有比遠傳多?那這樣是不是直接辦亞太就好?還是大家有推薦的呢?,fans,,主文,網速,中立,0,1.0,1,1,0,1,0,0,2,,"網速,5G"
9,亞太,[https://www.facebook.com/273340155673/posts/10158668870545674/](https://www.facebook.com/273340155673/posts/10158668870545674/),2021-08-06T13:13:21+08:00,亞太 訊號 哪邊 比較好??,"88元10G後降速12Mbps方案，生活圈都不錯才決定辦的。
在家裡速度只剩1Mbps上下，但還好家裡有光世代。
手機是紅米Note 8 Pro",fans_comment,,回文,資費,中立,0,0.0,1,1,1,0,0,0,2,,"網速,收訊"
